"Step","pretraining - train_loss","pretraining - train_loss__MIN","pretraining - train_loss__MAX"
"838","714.7489624023438","714.7489624023438","714.7489624023438"
"839","1212.9056396484375","1212.9056396484375","1212.9056396484375"
"848","1693.653564453125","1693.653564453125","1693.653564453125"
"853","1104.3653564453125","1104.3653564453125","1104.3653564453125"
"854","1135.60205078125","1135.60205078125","1135.60205078125"
"857","1064.89892578125","1064.89892578125","1064.89892578125"
"861","1033.910888671875","1033.910888671875","1033.910888671875"
"863","3521.755615234375","3521.755615234375","3521.755615234375"
"867","115.9451904296875","115.9451904296875","115.9451904296875"
"870","62.70769119262695","62.70769119262695","62.70769119262695"
"873","272.1093444824219","272.1093444824219","272.1093444824219"
"875","412.1790771484375","412.1790771484375","412.1790771484375"
"877","2043.71240234375","2043.71240234375","2043.71240234375"
"878","1059.6990966796875","1059.6990966796875","1059.6990966796875"
"881","1742.02197265625","1742.02197265625","1742.02197265625"
"882","2281.53271484375","2281.53271484375","2281.53271484375"
"884","255.93421936035156","255.93421936035156","255.93421936035156"
"885","60.473777770996094","60.473777770996094","60.473777770996094"
"888","1328.576904296875","1328.576904296875","1328.576904296875"
"891","3376.08447265625","3376.08447265625","3376.08447265625"
"895","502.7556457519531","502.7556457519531","502.7556457519531"
"898","1513.71923828125","1513.71923828125","1513.71923828125"
"900","63.073890686035156","63.073890686035156","63.073890686035156"
"903","1862.06884765625","1862.06884765625","1862.06884765625"
"905","988.4328002929688","988.4328002929688","988.4328002929688"
"906","3588.4130859375","3588.4130859375","3588.4130859375"
"909","1224.75146484375","1224.75146484375","1224.75146484375"
"912","3389.0625","3389.0625","3389.0625"
"913","2195.259033203125","2195.259033203125","2195.259033203125"
"916","62.8919792175293","62.8919792175293","62.8919792175293"
"919","581.921630859375","581.921630859375","581.921630859375"
"920","868.9599609375","868.9599609375","868.9599609375"
"921","59.323360443115234","59.323360443115234","59.323360443115234"
"924","1114.013671875","1114.013671875","1114.013671875"
"925","1252.2081298828125","1252.2081298828125","1252.2081298828125"
"931","145.97230529785156","145.97230529785156","145.97230529785156"
"938","66.20020294189453","66.20020294189453","66.20020294189453"
"939","65.66861724853516","65.66861724853516","65.66861724853516"
"943","1281.4404296875","1281.4404296875","1281.4404296875"
"945","997.48486328125","997.48486328125","997.48486328125"
"946","285.26458740234375","285.26458740234375","285.26458740234375"
"947","1042.6854248046875","1042.6854248046875","1042.6854248046875"
"948","65.21636962890625","65.21636962890625","65.21636962890625"
"949","1903.080810546875","1903.080810546875","1903.080810546875"
